"Stock","Last assessment","Council","Code","Var","Value","Units"
"Atlantic mackerel - Gulf of Maine / Cape Hatteras",2023,"MAFMC","Mackerel","F.Fmsy",0.85699999332428,"unitless"
"Atlantic surfclam - Mid-Atlantic Coast",2024,"MAFMC","Surfclam","F.Fmsy",0.18299999833107,"unitless"
"Black sea bass - Mid-Atlantic Coast",2024,"MAFMC","Bl Sea Bass","F.Fmsy",0.769999980926514,"unitless"
"Bluefish - Atlantic Coast",2023,"MAFMC","Bluefish","F.Fmsy",0.635999977588654,"unitless"
"Butterfish - Gulf of Maine / Cape Hatteras",2024,"MAFMC","Butterfish","F.Fmsy",0.028999999165535,"unitless"
"Longfin inshore squid - Georges Bank / Cape Hatteras",2023,"MAFMC","Longfin","F.Fmsy",NA,"unitless"
"Northern shortfin squid - Northwestern Atlantic Coast",2022,"MAFMC","Illex","F.Fmsy",NA,"unitless"
"Ocean quahog - Atlantic Coast",2020,"MAFMC","Quahog","F.Fmsy",0.263000011444092,"unitless"
"Scup - Atlantic Coast",2023,"MAFMC","Scup","F.Fmsy",0.899999976158142,"unitless"
"Summer flounder - Mid-Atlantic Coast",2023,"MAFMC","Fluke","F.Fmsy",1.02900004386902,"unitless"
"Tilefish - Mid-Atlantic Coast",2024,"MAFMC","G Tilefish","F.Fmsy",1.22300004959106,"unitless"
"Acadian redfish - Gulf of Maine / Georges Bank",2023,"NEFMC","Redfish","F.Fmsy",0.351000010967255,"unitless"
"American plaice - Gulf of Maine / Georges Bank",2024,"NEFMC","Plaice","F.Fmsy",0.109999999403954,"unitless"
"Atlantic cod - Eastern Georges Bank",2023,NA,NA,"F.Fmsy",NA,"unitless"
"Atlantic cod - Georges Bank",2024,"NEFMC","GB Cod","F.Fmsy",0.564999997615814,"unitless"
"Atlantic cod - Gulf of Maine",2021,"NEFMC","GOM Cod","F.Fmsy",NA,"unitless"
"Atlantic halibut - Northwestern Atlantic Coast",2024,"NEFMC","Halibut","F.Fmsy",NA,"unitless"
"Atlantic herring - Northwestern Atlantic Coast",2024,"NEFMC","Herring","F.Fmsy",0.583999991416931,"unitless"
"Atlantic salmon - Gulf of Maine",2024,NA,NA,"F.Fmsy",NA,"unitless"
"Atlantic wolffish - Gulf of Maine / Georges Bank",2022,NA,NA,"F.Fmsy",0.0209999997168779,"unitless"
"Barndoor skate - Georges Bank / Southern New England",2023,"NEFMC","Barndoor Skate","F.Fmsy",NA,"unitless"
"Clearnose skate - Southern New England / Mid-Atlantic",2023,"NEFMC","Clearnose Skate","F.Fmsy",NA,"unitless"
"Haddock - Eastern Georges Bank",2023,NA,NA,"F.Fmsy",1.44400000572205,"unitless"
"Haddock - Georges Bank",2024,"NEFMC","GB Haddock","F.Fmsy",0.653999984264374,"unitless"
"Haddock - Gulf of Maine",2024,"NEFMC","GOM Haddock","F.Fmsy",0.675999999046326,"unitless"
"Little skate - Georges Bank / Southern New England",2023,"NEFMC","Little Skate","F.Fmsy",NA,"unitless"
"Ocean pout - Northwestern Atlantic Coast",2022,"NEFMC","Pout","F.Fmsy",0.30799999833107,"unitless"
"Offshore hake - Northwestern Atlantic Coast",2011,"NEFMC","Offshore Hake","F.Fmsy",NA,"unitless"
"Pollock - Gulf of Maine / Georges Bank",2024,"NEFMC","Pollock","F.Fmsy",0.298000007867813,"unitless"
"Red deepsea crab - Northwestern Atlantic",2023,"NEFMC","Red Crab","F.Fmsy",NA,"unitless"
"Red hake - Gulf of Maine / Northern Georges Bank",2023,"NEFMC","N Red Hake","F.Fmsy",NA,"unitless"
"Red hake - Southern Georges Bank / Mid-Atlantic",2023,"NEFMC","S Red Hake","F.Fmsy",NA,"unitless"
"Rosette skate - Southern New England / Mid-Atlantic",2023,"NEFMC","Rosette Skate","F.Fmsy",NA,"unitless"
"Sea scallop - Northwestern Atlantic Coast",2020,"NEFMC","Scallop","F.Fmsy",0.556999981403351,"unitless"
"Silver hake - Gulf of Maine / Northern Georges Bank",2023,"NEFMC","N Silver Hake","F.Fmsy",0.0399999991059303,"unitless"
"Silver hake - Southern Georges Bank / Mid-Atlantic",2023,"NEFMC","S Silver Hake","F.Fmsy",0.112999998033047,"unitless"
"Smooth skate - Gulf of Maine",2023,"NEFMC","Smooth Skate","F.Fmsy",NA,"unitless"
"Thorny skate - Gulf of Maine",2023,"NEFMC","Thorny Skate","F.Fmsy",NA,"unitless"
"White hake - Gulf of Maine / Georges Bank",2022,"NEFMC","White Hake","F.Fmsy",0.646000027656555,"unitless"
"Windowpane - Gulf of Maine / Georges Bank",2023,"NEFMC","N Windowpane","F.Fmsy",NA,"unitless"
"Windowpane - Southern New England / Mid-Atlantic",2023,"NEFMC","S Windowpane","F.Fmsy",0.611999988555908,"unitless"
"Winter flounder - Georges Bank",2022,"NEFMC","GB Winter","F.Fmsy",0.167999997735023,"unitless"
"Winter flounder - Gulf of Maine",2022,"NEFMC","GOM Winter","F.Fmsy",NA,"unitless"
"Winter flounder - Southern New England / Mid-Atlantic",2022,"NEFMC","SNE Winter","F.Fmsy",0.230000004172325,"unitless"
"Winter skate - Georges Bank / Southern New England",2023,"NEFMC","Winter Skate","F.Fmsy",NA,"unitless"
"Witch flounder - Northwestern Atlantic Coast",2024,"NEFMC","Witch","F.Fmsy",NA,"unitless"
"Yellowtail flounder - Cape Cod / Gulf of Maine",2022,"NEFMC","CCGOM YT","F.Fmsy",0.323000013828278,"unitless"
"Yellowtail flounder - Georges Bank",2024,"NEFMC","GB YT","F.Fmsy",NA,"unitless"
"Yellowtail flounder - Southern New England / Mid-Atlantic",2022,"NEFMC","SNEMA YT","F.Fmsy",0.234999999403954,"unitless"
"Goosefish - Gulf of Maine / Northern Georges Bank",2022,"Both","N Goosefish","F.Fmsy",NA,"unitless"
"Goosefish - Southern Georges Bank / Mid-Atlantic",2022,"Both","S Goosefish","F.Fmsy",NA,"unitless"
"Spiny dogfish - Atlantic Coast",2023,"Both","Dogfish","F.Fmsy",0.800000011920929,"unitless"
"Atlantic cod - Eastern Gulf of Maine",2024,"NEFMC","EGOM Cod","F.Fmsy",0.02,"unitless"
"Atlantic cod - Southern New England",2024,"NEFMC","SNE Cod","F.Fmsy",8.06,"unitless"
"Atlantic cod - Western Gulf of Maine",2024,"NEFMC","WGOM Cod","F.Fmsy",1.63,"unitless"
"Atlantic mackerel - Gulf of Maine / Cape Hatteras",2023,"MAFMC","Mackerel","B.Bmsy",0.123000003397465,"unitless"
"Atlantic surfclam - Mid-Atlantic Coast",2024,"MAFMC","Surfclam","B.Bmsy",0.949999988079071,"unitless"
"Black sea bass - Mid-Atlantic Coast",2024,"MAFMC","Bl Sea Bass","B.Bmsy",2.18899989128113,"unitless"
"Bluefish - Atlantic Coast",2023,"MAFMC","Bluefish","B.Bmsy",0.598999977111816,"unitless"
"Butterfish - Gulf of Maine / Cape Hatteras",2024,"MAFMC","Butterfish","B.Bmsy",2.21700000762939,"unitless"
"Longfin inshore squid - Georges Bank / Cape Hatteras",2023,"MAFMC","Longfin","B.Bmsy",2.87299990653992,"unitless"
"Northern shortfin squid - Northwestern Atlantic Coast",2022,"MAFMC","Illex","B.Bmsy",NA,"unitless"
"Ocean quahog - Atlantic Coast",2020,"MAFMC","Quahog","B.Bmsy",1.08000004291534,"unitless"
"Scup - Atlantic Coast",2023,"MAFMC","Scup","B.Bmsy",2.0239999294281,"unitless"
"Summer flounder - Mid-Atlantic Coast",2023,"MAFMC","Fluke","B.Bmsy",0.827000021934509,"unitless"
"Tilefish - Mid-Atlantic Coast",2024,"MAFMC","G Tilefish","B.Bmsy",0.582000017166138,"unitless"
"Acadian redfish - Gulf of Maine / Georges Bank",2023,"NEFMC","Redfish","B.Bmsy",1.64300000667572,"unitless"
"American plaice - Gulf of Maine / Georges Bank",2024,"NEFMC","Plaice","B.Bmsy",1.94799995422363,"unitless"
"Atlantic cod - Eastern Georges Bank",2023,NA,NA,"B.Bmsy",NA,"unitless"
"Atlantic cod - Georges Bank",2024,"NEFMC","GB Cod","B.Bmsy",0.321999996900558,"unitless"
"Atlantic cod - Gulf of Maine",2021,"NEFMC","GOM Cod","B.Bmsy",NA,"unitless"
"Atlantic halibut - Northwestern Atlantic Coast",2024,"NEFMC","Halibut","B.Bmsy",NA,"unitless"
"Atlantic herring - Northwestern Atlantic Coast",2024,"NEFMC","Herring","B.Bmsy",0.256999999284744,"unitless"
"Atlantic salmon - Gulf of Maine",2024,NA,NA,"B.Bmsy",NA,"unitless"
"Atlantic wolffish - Gulf of Maine / Georges Bank",2022,NA,NA,"B.Bmsy",0.456999987363815,"unitless"
"Barndoor skate - Georges Bank / Southern New England",2023,"NEFMC","Barndoor Skate","B.Bmsy",1.07000005245209,"unitless"
"Clearnose skate - Southern New England / Mid-Atlantic",2023,"NEFMC","Clearnose Skate","B.Bmsy",0.801999986171722,"unitless"
"Haddock - Eastern Georges Bank",2023,NA,NA,"B.Bmsy",NA,"unitless"
"Haddock - Georges Bank",2024,"NEFMC","GB Haddock","B.Bmsy",1.35099995136261,"unitless"
"Haddock - Gulf of Maine",2024,"NEFMC","GOM Haddock","B.Bmsy",1.94200003147125,"unitless"
"Little skate - Georges Bank / Southern New England",2023,"NEFMC","Little Skate","B.Bmsy",0.579999983310699,"unitless"
"Ocean pout - Northwestern Atlantic Coast",2022,"NEFMC","Pout","B.Bmsy",0.0529999993741512,"unitless"
"Offshore hake - Northwestern Atlantic Coast",2011,"NEFMC","Offshore Hake","B.Bmsy",NA,"unitless"
"Pollock - Gulf of Maine / Georges Bank",2024,"NEFMC","Pollock","B.Bmsy",2.13499999046326,"unitless"
"Red deepsea crab - Northwestern Atlantic",2023,"NEFMC","Red Crab","B.Bmsy",NA,"unitless"
"Red hake - Gulf of Maine / Northern Georges Bank",2023,"NEFMC","N Red Hake","B.Bmsy",NA,"unitless"
"Red hake - Southern Georges Bank / Mid-Atlantic",2023,"NEFMC","S Red Hake","B.Bmsy",NA,"unitless"
"Rosette skate - Southern New England / Mid-Atlantic",2023,"NEFMC","Rosette Skate","B.Bmsy",1.07500004768372,"unitless"
"Sea scallop - Northwestern Atlantic Coast",2020,"NEFMC","Scallop","B.Bmsy",1.43299996852875,"unitless"
"Silver hake - Gulf of Maine / Northern Georges Bank",2023,"NEFMC","N Silver Hake","B.Bmsy",4.46099996566772,"unitless"
"Silver hake - Southern Georges Bank / Mid-Atlantic",2023,"NEFMC","S Silver Hake","B.Bmsy",0.628000020980835,"unitless"
"Smooth skate - Gulf of Maine",2023,"NEFMC","Smooth Skate","B.Bmsy",0.695999979972839,"unitless"
"Thorny skate - Gulf of Maine",2023,"NEFMC","Thorny Skate","B.Bmsy",0.0350000001490116,"unitless"
"White hake - Gulf of Maine / Georges Bank",2022,"NEFMC","White Hake","B.Bmsy",0.691999971866608,"unitless"
"Windowpane - Gulf of Maine / Georges Bank",2023,"NEFMC","N Windowpane","B.Bmsy",NA,"unitless"
"Windowpane - Southern New England / Mid-Atlantic",2023,"NEFMC","S Windowpane","B.Bmsy",0.851999998092651,"unitless"
"Winter flounder - Georges Bank",2022,"NEFMC","GB Winter","B.Bmsy",0.600000023841858,"unitless"
"Winter flounder - Gulf of Maine",2022,"NEFMC","GOM Winter","B.Bmsy",NA,"unitless"
"Winter flounder - Southern New England / Mid-Atlantic",2022,"NEFMC","SNE Winter","B.Bmsy",1.01199996471405,"unitless"
"Winter skate - Georges Bank / Southern New England",2023,"NEFMC","Winter Skate","B.Bmsy",1.12000000476837,"unitless"
"Witch flounder - Northwestern Atlantic Coast",2024,"NEFMC","Witch","B.Bmsy",NA,"unitless"
"Yellowtail flounder - Cape Cod / Gulf of Maine",2022,"NEFMC","CCGOM YT","B.Bmsy",0.996999979019165,"unitless"
"Yellowtail flounder - Georges Bank",2024,"NEFMC","GB YT","B.Bmsy",NA,"unitless"
"Yellowtail flounder - Southern New England / Mid-Atlantic",2022,"NEFMC","SNEMA YT","B.Bmsy",0.0410000011324883,"unitless"
"Goosefish - Gulf of Maine / Northern Georges Bank",2022,"Both","N Goosefish","B.Bmsy",NA,"unitless"
"Goosefish - Southern Georges Bank / Mid-Atlantic",2022,"Both","S Goosefish","B.Bmsy",NA,"unitless"
"Spiny dogfish - Atlantic Coast",2023,"Both","Dogfish","B.Bmsy",1.01499998569489,"unitless"
"Atlantic cod - Eastern Gulf of Maine",2024,"NEFMC","EGOM Cod","B.Bmsy",0.12,"unitless"
"Atlantic cod - Southern New England",2024,"NEFMC","SNE Cod","B.Bmsy",0.03,"unitless"
"Atlantic cod - Western Gulf of Maine",2024,"NEFMC","WGOM Cod","B.Bmsy",0.03,"unitless"
